,kanji,hiragana/katakana,persian,english
1067,逆らう,さからう,مخالفت و سرپیچی,
1068,逆上がり,さかあがり,چرخش معکوس,
1069,逆転,ぎゃくてん,برعکس شدن (نتیجه),
1070,逆様,さかさま,وارونه,
1071,久しい,ひさしい,خیلی وقته,
1072,久しぶり,ひさしぶり,خیلی وقته,
1073,休暇,きゅうか,تعطیلات,
1074,休業日,きゅうぎょうび,تعطیلات,
1075,休日,きゅうじつ,تعطیلات مناسبتی,holyday
1076,休日は,きゅうじつは,در تعطیلات,
1077,休日出勤,きゅうじつしゅっきん,کار تعطیلات,
1078,吸う,すう,کشیدن (سیگار),
1079,吸血鬼,きゅうけつき,خون آشام,
1080,吸収する,きゅうしゅうする,جذب,
1081,急ぐ,いそぐ,عجله کردن,
1082,急な坂,きゅうなさか,شیب تند,
1083,急に,きゅうに,ناگهانی,
1084,急激に,きゅうげきに,فوری عجله ای,urgently
1085,急冷,きゅうれい,خنک کننده سریع,
1086,救急車,きゅうきゅうしゃ,آمبولانس,ambulance
1087,救助,きゅうじょ,نجات,rescue
1088,救助活動,きゅうじょかつどう,عملیات نجات,
1089,求め,もとめ,تقاضا ,
1090,求めて,もとめて,به دنبال ,
1091,求める,もとめる,تقاضا کردن,
1092,求職者,きゅうしょくしゃ,جویای کار,
1093,求人,きゅうじん,استخدام ,
1094,求人企業,きゅうじんきぎょう,شرکت های استخدام,
1095,求人広告,きゅうじんこうこ,آگهی های کار,
1096,究明する,きゅうめいする,تحقیق کردن,
1097,給食,きゅうしょく,ناهار مدرسه,
1098,給付,きゅうふ,فواید,
1099,給付が受け,きゅうふがうけ,مزایای دریافت شده,
1100,給与,きゅうよ,حقوق,
1101,給与所得者,きゅうよしょとくしゃ,حقوق بگیر,
1102,給料が上がる,きゅうりょうがあがる,افزایش حقوق,
1103,給料日,きゅうりょうび,روز حقوق,
1104,牛肩スライス,ぎゅうかた,گوشت کتف گاو,
1105,牛乳,ぎゅうにゅう,شیر,
1106,居間,いま,اتاق نشینمن,living room
1107,居酒屋,いざかや,ایزاکایا,
1108,居住者,きょじゅうしゃ,"ساکن ، مقیم",resident
1109,居住用,きょじゅうよう,مسکونی,
1110,居眠り,いねむり,چرت زدن,
1111,巨人,きょじん,غول,
1112,拒否,きょひ,اجتناب کردن/قبول نکردن /رد,
1113,挙げられる,あげられる,ذکر شده,
1114,挙げる,あげる,ذکر کردن,"raise , name"
1115,挙句,あげく,سرانجام,
1116,許す,ゆるす,بخشیدن,
1117,許可,きょか,اجازه دادن,
1118,距離,きょり,فاصله,
1119,漁業,ぎょぎょう,ماهیگیری,
1120,漁師,りょうし,ماهیگیر,
1121,魚,さかな,ماهی,
1122,魚釣り,さかなつり,ماهیگیری,
1123,供給する,きょうきゅうする,عرضه,
1124,競技,きょうぎ,رقابت,competition
1125,競争,きょうそう,رقابت کردن,
1126,競走します,きょうそうします,مسابقه خواهم داد,
1127,共の洗濯機,とものせんたっき,ماشین لباسشویی مشترک,
1128,共稼ぎ,ともかせぎ,درآمد دوگانه,working couple
1129,共感,きょうかん,هم عقیده,empathy
1130,共通,きょうつう,با همدیگر,
1131,共通フレーム,きょうつうふれーむ,قاب مشترک,
1132,共同,きょうどう,مشترک با هم,
1133,共同支援,"きょうどう
しえん",حمایت مشترک,
1134,共同生活,"きょうどう
せいかつ",زندگی مشترک,
1135,共同部分,きょうどうぶぶん,وسایل مشترک,shared parts
1136,共有,きょうゆう,اشتراک گذاری,
1137,共有する,きょうゆうする,اشتراک گذاری,
1138,凶,きょう,"نحس ، بدشانسی",bad fortune
1139,協調性,きょうちょうせい,همکاری,
1140,協定,きょうてい,توافق,
1141,協力,きょうりょく,همکاری,
1142,叫びました,さけびました,من دادزدم,
1143,叫ぶ,さけぶ,فریاد,
1144,境,さかい,مرز,
1145,境界,きょうかい,"مرز ، حد","border,boundary"
1146,境界値,きょうかいち,مقدار مرزی,
1147,強い,つよい,قوی,
1148,強化する,きょうかする,تقویت,
1149,強制する,きょうせいする,زور,
1150,強調,きょうちょう,تاکید کردن روی چیزی,
1151,強盗事件,ごうとうじけん,حادثه سرقت,
1152,強風,きょうふう,باد شدید,
1153,恐らく,おそらく,شاید,
1154,恐るしい,おそれるしい,ترسناک,
1155,恐れ入りますか,おそれいりますか,میترسی؟,
1156,恐怖,きょうふ,ترس,
1157,挟まる,はさまる,گیر کردن ,
1158,挟む,はさむ,قرار دادن یا گرفتن چیزی بین دو چیز,
1159,教える,おしえる,یاددادن گفتن,
1160,教育,きょういく,آموزش و تربیت,
1161,教育課程,"きょういく
かてい",دوره آموزشی,
1162,教科書,きょうかしょ,کتاب درسی,
1163,教科書代,"きょうかしょ
だい",شهریه کتاب درسی,
1164,教材,きょうざい,مواد آموزشی,
1165,教師,きょうし,معلم,
1166,教室,きょうしつ,کلاس درس,
1167,教授,きょうじゅ,استاد / پروفسور,
1168,教職員一同,きょうしょくいんいちどう,کلیه اساتید و کارکنان,
1169,胸,むね,سینه,
1170,胸が熱くなった,むねがあつくなった,دلگرم شدم,
1171,興味,きょうみ,علاقه,
1172,驚く,おどろく,شگفت زده شدن,
1173,仰った,おっしゃった,گفت,
1174,仰向けになる,あおむけになる,به پشت بخواب,
1175,業界,ぎょうかい,"صنعت
",
1176,業務スーパー,ぎょうむすーぱー,سوپرمارکت تجاری,
1177,曲げる,まげる,پیچاندن,
1178,極め,きわめ,بسیار,
1179,極真空手,ごくしんくうしゅ,کیوکوشین کاراته,
1180,極端な,きょくたんな,مفرط,
1181,極美品,ごくみひん,آیتم فوق العاده زیبا,
1182,玉子,たまご,تخم مرغ,
1183,勤める,つとめる,خدمت کردن,
1184,〜勤務,〜きんむ,... کاری,
1185,勤務開始,きんむかいし,آغاز کار ,
1186,勤務時間中,きんむじかんちゅう,مشغول کار بودن,(be) on duty
1187,均一に,きんいつに,به طور مساوی,
1188,禁煙,きんえん,سیگار کشیدن ممنوع,
1189,禁物,きんもつ,ممنوع ,
1190,禁輸,きんゆ,تحریم,
1191,緊急事態,"きんきゅう
じたい","اظطراری 
اورژانسی",
1192,緊張,きんちょう,اظطراب,
1193,緊張が解ける,きんちょうがとける,تنش رو دور کردن ,to dissipate
1194,緊張します。,きんちょうします。,من عصبی هستم.,
1195,緊張する,きんちょうする,عصبی شدن,
1196,襟,えり,یقه,
1197,近く,ちかく,نزدیک,
1198,近づく,ちかずく,نزدیک چیزی شدن,
1199,近寄り難い,ちかよりがたい,سخت نزدیک شدن,
1200,近寄る,ちかよる,نزدیک شدن چیزی,
1201,近々会う。,ちかぢかあう。,به زودی می بینمت.,
1202,近頃,ちかごろ,به تازگی,
1203,近所,きんじょ,محله,
1204,近所付き合い,きんじょずきあい,روابط با همسایگان,
1205,近代,きんだい,مدرن,modern
1206,近年,きんねん,سالهای اخیر,
1207,金,かね,پول,
1208,金閣寺,きんかくじ,معبد کینکاکوجی,
1209,金額,きんがく,مقدار پول,
1210,金庫,きんこ,گاوصندوق,
1211,金銭,きんせん,"پول ، دارایی نقدی","money , cash"
1212,金平ごぼう,きんぴら,سرخ شده هویج و رنکون و گوبو,
1213,金融,きんゆう,"دارایی ، امور مالی",
1214,金融機関,きんゆうきかん,موسسه مالی,
1215,銀行,ぎんこう,بانک,
1216,銀行口座,ぎんこうこうざ,حساب بانکی,
1217,銀行預金,ぎんこうよきん,سپرده بانکی,
1218,区切り,くぎり,کاما,","
1219,区分,くぶん,طبقه بندی,classification
1220,苦い,にがい,تلخی,
1221,苦しい,くるしい,دشواری,
1222,苦しむ,くるしむ,دشوار بودن,
1223,苦しめる,くるしめる,اذیت شدن,
1224,苦手,にがて,بلد نبودن,
1225,苦情,くじょう,شکایت,
1226,苦悩,くのう,پریشانی,
1227,苦労,（に）くろう,مشکل داشتن با ,
1228,駆け,かけ,عجله,
1229,駆け込み乗車,かけこみじょうしゃ,سواری لحظه آخری,
1230,駆動,くどう,"رانش ، حرکت دادن",
1231,具材,ぐざい,مواد,
1232,具体的に,ぐたいてきに,به طور مشخص,
1233,愚痴る,ぐち,شکایت کردن,
1234,愚弄,ぐろう,طعنه زدن,
1235,空,そら,آسمان,sky
1236,空き缶,あきかん,قوطی خالی,
1237,空くまで,あくまでも,تا آخرش / تا اتمامش,to the end
1238,空間,くうかん,فضا(داخل جایی),space
1239,空気,くうき,هوا,ear
1240,空港,くうこう,فرودگاه,
1241,空席,くうせき,جای خالی,
1242,空白,くうはく,جای خالی,
1243,空欄を埋める,くうらんをうめる,جاهای خالی را پر کنید,
1244,偶数,ぐうすう,عدد زوج,
1245,偶然,ぐうぜん,تصادفاً,
1246,繰り返し,くりかえし,تکرار,
1247,繰り返する,くりかえする,تکرار,
1248,訓練,くんれん,تعلیم دیدن,
1249,係数,けいすう,ضریب,
1250,係長,かかりちょう,رئیس بخش,assistant manager
1251,傾向,けいこう,گرایش,
1252,兄弟,きょうだい,برادران,
1253,型,がた,قالب,
1254,契約更新料,けいやくこうしんりょう,هزینه تمدید قرارداد,
1255,契約社員,けいやくしゃいん,کارمند قراردادی,
1256,契約手続き,けいやくてつづき,رویه قرارداد,
1257,契約書,けいやくしょ,قرارداد,contract
1258,形,かたち,شکل,
1259,形づくる,かたちづくる,"شکل دادن ، فرم دادن",form
1260,形見,かたみ,یادگاری,
1261,形式,けいしき,شکل رسمی,
1262,形式的,けいしきてき,شکل رسمی,
1263,恵まれる,めぐまれる,خوشبخت,
1264,恵み,めぐみ,لطف,
1265,掲載する,けいさいする,پست,
1266,掲示板,けいじばん,تابلوی اعلانات,
1267,携わる,たずさわる,"دخالت کردن ، درگیر شدن",to be invoved in
1268,携帯,けいたい,حمل,
1269,携帯電話,けいたいでんわ,تلفن همراه,
1270,敬服する,けいふくする,ارج نهادن,
1271,敬老の日,けいろうのひ,احترام به روز سالمند,
1272,景気が良い,けいき,معیشت مردم,
1273,経営,けいえい,مدیریت,
1274,経営管理,けいえいかんり,مدیریت کسب و کار,
1275,経営者,けいえいしゃ,مدیر,
1276,経験,けいけん,تجربه,experience
1277,経験を積む,"けいけんを
つむ",کسب تجربه,
1278,経済,けいざい,اقتصاد کشور,economics
1279,経済制裁,けいざいせいさい,تحریم اقتصادی,
1280,経済対策,けいざいたいさく,اقدامات اقتصادی,
1281,経済的援助,"けいざい
てきえんじょ",کمک مالی,
1282,経済面,けいざいめん,جنبه اقتصادی,
1283,経由,けいゆ,از طریق,
1284,経由する,けいゆうする,عبور از,
1285,経理,けいり,حسابداری,
1286,経理部,けいりぶ,بخش حسابداری,
1287,継ぐ,つぐ,به ارث بردن,
1288,継承する,けいしょう,ارث بردن,
1289,継続,けいぞく,ادامه,
1290,継続する,けいぞくする,ادامه دادن,to countinue
1291,繋がる,つながる,"متصل کردن
مرتبط ساختن","connection,bonds"
1292,計画,けいかく,طرح برنامه ریزی,
1293,計画を立てる,けいかくをたてる,طرح دادن,
1294,計算,けいさん,محاسبه کردن,
1295,計算機,けいさんき,ماشین حساب,calculator
1296,警察,けいさつ,افسر پلیس,
1297,警察官,けいさつかん,پلیس,
1298,警備,けいび,برقراری امنیت,
1299,警備する,けいびする,نگهبان,
1300,軽くほぐす,かるくほぐす,به آرامی شل کردن مواد,
1301,軽くほぐする,かるくほぐする,شل کردن,
1302,軽く押す,かるくおす,به آرامی فشار دهید,
1303,軽作業,けいさぎょう,کار آسان,
1304,軽視する,けいしする,کوچک شمردن,
1305,鶏レバー,とりればー,جگر مرغ,
1306,芸術,げいじゅつ,هنر,
1307,芸術品,げいじゅつひん,اثر هنری,
1308,迎える,むかえる,استقبال از مسافر,
1309,迎春,げいしゅん,به بهار خوش آمدید,
1310,激しい,はげしい,شدید / قویاً,
1311,激しい人,はげしいひと,شخص خشن,
1312,欠席,けっせき,حضور نیافتن,
1313,欠席する,けっせきする,غایب,
1314,欠点,けってん,عیب,
1315,決して,けっして,هرگز,
1316,決まり,きまり,قانونه که,
1317,決まる,きまる,تصمیم گرفتن,
1318,決める,きめる,تصمیم گرفتن,
1319,決意する,けつい,تصمیم گرفتم,
1320,決心,けっしん,عزم,
1321,決心する,けっしんする,تصمیم گرفتن,make up one`s mind
1322,決断,けつだん,تصمیم گیری,
1323,決定,けってい,تصمیم گیری,
1324,穴,あな,سوراخ,
1325,穴をあける,あなをあける,سوراخ کردن,drill
1326,結ぶ,むすぶ,بستن . گره زدن,
1327,結果,けっか,نتیجه,
1328,結果、,けっか、,"نتیجه،",
1329,結局,けっきょく,در آخر,
1330,結構,けっこう,خوب,
1331,結婚,けっこん,ازدواج,
1332,結婚記念日,けっこんきねんび,سالگرد ازدواج,
1333,結婚式,けっこんしき,مراسم ازدواج,
1334,結論,けつろん,نتیجه گیری,
1335,血,ち,خون,blood
1336,月額,げつがく,ماهانه,
1337,月刊誌,げっかんし,ماهنامه,
1338,月極駐車場,つきぎめちゅうしゃじょう,پارکینگ ماهیانه,
1339,月替わり,つきがわり,تغییر ماهانه,
1340,月末,げつまつ,پایان ماه,
1341,件,けん,موضوع,
1342,健やかな,すこやかな,سالم,
1343,健康,けんこう,سلامتی,health
1344,健康管理費,けんこうかんりひ,شهریه چکاپ سلامتی,
1345,健康診断,けんこうしんだん,چکاپ سلامتی,
1346,健全,けんぜん,صحیح / درست,
1347,喧嘩,けんか,درگیر شدن,
1348,嫌い,きらい,دوست نداشتن,
1349,嫌な,いやな,ناخوشایند,
1350,嫌味に,いやみに,طعنه آمیز,
1351,建てる,たてる,ساختن,
1352,建設,けんせつ,ساخت و ساز,
1353,建設的,けんせつてき,سازنده,
1354,建築家,けんちくか,معمار,
1355,建物,たてもの,ساختمان,
1356,憲章,けんしょう,منشور,
1357,検査,けんさ,بازرسی,
1358,検査業務,けんさぎょうむ,کار بازرسی,
1359,検査室,けんさしつ,اتاق امتحان,
1360,検索,けんさく,جستجو کردن,search
1361,検索する,けんさく,جستجو کنید,
1362,検証,けんしょう,تایید,
1363,検針票,けんしんひょう,قبض قرائت کنتور,
1364,検討,けんとう,"در نظر گرفتن 
بررسی کردن",
1365,検便,けんべん,بازرسی مدفوع,
1366,検便検査,けんべんけんさ,ازمایش مدفوع,
1367,検便容器,けんべんようき,ظرف تست مدفوع,
1368,権利,けんり,درست,
1369,権利証ラベル,けんりしょうらべる,برچسب سند مالکیت,
1370,権力,けんりょく,قدرت,
1371,犬,いぬ,سگ,
1372,犬猿の仲,けんえんのなか,رابطه سگ و میمون,
1373,献立,こんだて,منوی غذا,
1374,研究,けんきゅう,"مطالعه ، پژوهش",
1375,研究室,けんきゅうしつ,آزمایشگاه,
1376,研究者,けんきゅうしゃ,پژوهشگر,
1377,研修,けんしゅう,آموزش,
1378,研修生,"けんしゅう
せい",کارآموز,
1379,絹豆腐,きぬどうふう,توفو ابریشمی,
1380,肩が凝る,かたがこる,شانه های سفت,
1381,肩を組む,かたをくむ,دستت رو روی شونه اش بذار,
1382,肩書き,かたがき,عنوان /سمت,
1383,見た目,みため,ظاهر,
1384,見つける,みつける,پیدا کردن,
1385,見つめる,みつめる,خیره شدن,
1386,見つめ合う,みつめあう,به یکدیگر نگاه کنید,
1387,見る,みる,دیدن,
1388,見解の相違,けんかいのそうい,اختلاف نظر,
1389,見学,けんがく,بازدید علمی,
1390,見込み,みこみ,انتظار می رود که,
1391,見習う,みならう,تقلید کردن,
1392,見積,みつもり,برآورد,
1393,見送る,みおくる,بدرقه بازدید کننده,
1394,見直す,みなおす,مرور کردن,
1395,見当をつける,けんとうをつける,حدث زدم,
1396,見聞録,けんぶんろく,خاطرات,
1397,見放題,みほうだい,مشاهده نامحدود,
1398,見本,みほん,نمونه,
1399,謙虚,けんきょ,فروتن / متواضع,
1400,賢い,かしこい,"باهوش ، عاقل",
1401,険しい,けわしい,"بیان تلخ / جاده
 شب دار/چهره 
عبوس / سرش تیز ",
1402,険しい坂,けわしいさか,شیب تند,
1403,険しい人生,けわしいじんせい,زندگی سخت,
1404,元に戻る,もとにもどる,برگشتن به حالت قبل,
1405,元気,げんき,سرحال,
1406,原因,げんいん,علت,
1407,原因は何ですか?,げんいんはなにですか?,دلیل ش چیه؟,
1408,原始関数,げんしかんすう,تابع اولیه,
1409,原則,げんそく,قاعده کلی,
1410,原則として,げんそくとして,در اصل,
1411,原爆ドーム,げんばくどーむ,گنبد بمب اتمی,
1412,原付,げんつき,اسکوترها,
1413,原本,げんぽん,اصلی(مدرک),
1414,厳し,きびし,شدید,
1415,厳しい,きびしい,سخت گیر,
1416,厳正なる審査の結果,げんせいなるしんさのけっか,نتایج معاینه دقیق,
1417,厳密に,げんみつに,به طور دقیق,
1418,減らす,へらす,کاهش دادن,
1419,減る,へる,کاهش یافتن,
1420,減少する,げんしょうする,کاهش دادن,to decrease
1421,玄関,げんかん,ورودی خانه,
1422,現れる,あらわれる,به نظر میاد,
1423,現在,げんざい,در حال حاضر,currently
1424,現時点,げんじてん,در حال حاضر,
1425,現実,げんじつ,واقعیت,reality
1426,現住所,げんじゅうしょ,آدرس فعلی,
1427,現代,げんだい,امروز,
1428,言いつける,いいつける,خبر داد,tell
1429,言い出す,いいだす,حرفش رو زد,start saying
1430,言い訳,いいわけ,بهانه گیر,
1431,言う,いう,گفتن,
1432,言語,げんご,زبان,
1433,言葉,ことば,کلمه ها,
1434,限られている,かぎられている,محدودیت داره,to be limited
1435,個人的な,こじんてきな,شخصی,
1436,個人番号カード,こじんばんごうかーど,کارت شماره فردی,
1437,個数,こすう,تعداد قطعات,counta
1438,個別,こべつ,انفرادی,
1439,個別面談,こべつめんだん,مصاحبه فردی,
1440,呼び合っている,よびあっている,صدا میزنند,
1441,呼び止める,よびとめる,جلوی کسی رو گرفتن,
1442,呼び出す,よびだす,صدا زدن,
1443,呼ぶ,よぶ,صدا زدن,call
1444,呼吸,こきゅう,نفس کشیدن,
1445,呼吸する,こきゅうする,نفس کشیدن,
1446,固い,かたい,سفت /سخت,
1447,固まり,かたまり,سفت شدن (تخم مرغ),
1448,固まる,かたまる,سفت شدن,
1449,固体,こたい,جامد,solid object
1450,孤独感,こどくかん,تنهایی,
1451,故郷,こきょう,زادگاه,
1452,故郷,こきょう,زادگاه,
1453,故障,こしょう,خرابی,
1454,枯れる,かれる,پژمرده شدن,to wither
1455,湖,みずうみ,دریاچه,
1456,狐,きつね,روباه,
1457,胡麻和え,ごまあえ,سس کنجد,
1458,誇る,ほこる,افتخار کردن ,
1459,雇う,やとう,استخدام,
1460,互い,たがい,یکدیگر,
1461,互角,ごかく,۵ ضلعی,
1462,互換,ごかん,سازگار,
1463,互換性,ごかんせい,سازگاری,
1464,午後,ごご,بعدازظهر,
1465,午前,ごぜん,صبح,
1466,後にする,あとにする,"تآخیر ، تعویق",
1467,後回し,あとまわし,موکول کردن,postpone
1468,後悔,こうかい,پشیمان شدن. پشیمانی,
1469,後継,こうけい,وارث / جانشین,
1470,後半は,こうはんは,نیمه دوم,
1471,御菓子,ごかし,شیرینی,
1472,御徒町駅,おかちまちえき,ایستگاه اوکاچیماچی,
1473,語り,かたり,　روایت,
1474,語学,ごがく,زبان شناسی,
1475,語句,ごく,عبارات,
1476,語彙,ごい,واژگان,vocabulary
1477,誤る,あやまる,اشتباه کردن,
1478,誤解,ごかい,سوء تفاهم,
1479,"誤解を
招いてしまった","ごかいを
まねきました",باعث سوء تفاهم شد,
1480,誤差,ごさ,خطا,
1481,交じる,まじる,همراه شدن,
1482,交ぜる,まぜる,"ترکیب کردن
شکست یک خط",
1483,交わす,かわす,طفره رفتن,
1484,交換する,こうかんする,تبادل,exchange
1485,交換の品,こうかんのしな,کالای معاوضه ای,replacement
1486,交差点,こうさてん,تقاطع,
1487,交際,こうさい,مصاحبت,
1488,交渉する,こうしょうする,مذاکره کنید,
1489,交代,こうたい,جایگزین شدن,
1490,交通,こうつう,وسایل رفت وآمد,
1491,交通機関,こうつうきかん,امکانات حمل و نقل,
1492,交通事故,こうつうじこ,تصادف,
1493,交通費,こうつうひ,هزینه رفت و آمد,
1494,交通網,こうつうもう,شبکه حمل و نقلی,
1495,交点,こうてん,تقاطع,
1496,交番,こうばん,دکه پلیس,
1497,交付,こうふ,تحویل,
1498,交付のご案内,こうふのごあんない,راهنمایی در مورد تحویل,
1499,交流,こうりゅう,تبادل,
1500,交流する,こうりつ,هم صحبتی,chat with
1501,候補者,ほうほしゃ,نامزد (انتخابات),
1502,光ケーブル対応,ひかりケーブルたいおう,کابل فیبر نوری,
1503,光る,ひかる,درخشیدن,
1504,光熱費,こうねつひ,هزینه های آب و برق,
1505,公園,こうえん,پارک,
1506,公開講座,こうかいこうざ,سخنرانی باز,
1507,公開日,こうかいび,تاریخ انتشار,
1508,公害,こうがい,آلودگی زیست محیطی,environmental pollution
1509,公共料金,こうきょうりょうきん,قبوض آب و برق,
1510,公式サイト,こうしきさいと,سایت رسمی,
1511,公的な,こうてきな,عمومی,
1512,公理的,こうりてき,بدیهی,
1513,効き,きき,اثربخشی,
1514,効く,きく,اثر کردن,
1515,効果,こうか,تأثیر,
1516,効率的な,こうりつてきな,"کارآمد ، بهینه",efficient
1517,厚かましい,あつかましい,"بی پرده ، پر رو ، بی ملاحظه",brazen
1518,厚み,あつみ,ضخامت,
1519,厚紙,あつがみ,مقوا,
1520,厚生労働省,こうせいろうどうしょう,وزارت بهداشت کار و رفاه,
1521,口,くち,دهان,
1522,口が軽い,くちがかるい,دهن لق,
1523,口に合う,くちにあう,طعم خوبی دارد,
1524,口をきく,くちをきく,صحبت,
1525,口を出す,くちをだす,زبان شل / خایه مال,
1526,口々に,くちぐちに,یکی پس از دیگری,
1527,口々に叫ぶ,くちぐちにさけぶ,با صدای بلند فریاد بزن,
1528,口座,こうざ,حساب,
1529,口座振替,こうざふりかえ,انتقال حساب,
1530,口実,こうじつ,بهانه,
1531,口出す,くちだす,وسط صحبت پریدن,
1532,口鍛冶橋駐車場,くちたんやきょうちゅうしゃじょう,پارکینگ کوچیکاجی باشی,
1533,口調,くちょう,لحن,
1534,口論する,こうろん,جر و بحث,
1535,向かう,むかう,چرخاندن رو,
1536,向かっている,むかっている,در راه به سمت,
1537,向き合う,むきあう,دست و پنجه نرم کردن,face
1538,向ける,むける,"چرخاندن سر به
سمت",
1539,向こうで,むこうで,در آنجا,
1540,向学心,こうがくしん,اشتیاق به یادگیری,
1541,喉,のど,گلو,
1542,好き,すき,دوست داشتنی,
1543,好みです,このみです,خوشم می آید,
1544,好奇心,こうきしん,کنجکاوی,
1545,工業高等学校,こうぎょうこうとがっこう,"مدرک پایان تحصیلات دبیرستان
 فنی",
1546,工作機械の修理,こうさくきかいのしゅうり,تعمیر ماشین ابزار,
1547,工作許可,こうさくきょか,دریافت مجوز کار,
1548,工事現場,こうじげんば,محل احداث ساختمان,construction site
1549,工場,こうじょう,کارخانه,plant
1550,工場,こうじょう,کارخانه,factory
1551,工程変更,こうていへんこう,تغییر فرآیند,
1552,工夫,くふう,با استعداد  / نابغه,
1553,工夫した,くふうした,ابداع کرد,
1554,幸い,さいわい,خوشبختانه,luckily
1555,幸福,こうふく,خوشبختی,
1556,幸福な,こうふくな,شاد/ خوشحال,
1557,﻿広げて,ひろげて,پخش کردن,
1558,広げる,ひろげる,گسترش دادن,
1559,広域帯,こういきたい,باند پهن,
1560,広告,こうこく,تبلیغات,
1561,広範な,こうはんな,گسترده,
1562,広報課,こうほうか,بخش روابط عمومی,
1563,慌ただしく,あわただしく,با عجله,
1564,控える,ひかえる,خودداری,
1565,控除計,こうじょけい,مجموع کسر,
1566,攻める,せめる,سرزنش کردن,
1567,攻撃,こうげき,حمله کنند,
1568,更新,こうしん,بروز رسانی,
1569,更新料,こうしんりょう,هزینه تمدید,
1570,〜校,〜こう,مدرسه ,
1571,校庭,こうてい,حیاط مدرسه,
1572,構わない,かまわない,برام مهم نیست,
1574,構築,こうちく,ساخت و ساز,construction
1575,洪水 死者,こうずいししゃ,مرده سیل,
1576,港,みなと,بندر,
1577,紅茶,こうちゃ,چای سیاه,
1578,紅白なます,こうはくなます,سالاد سفید قرمز,
1579,紅葉,もみじ,برگ های پاییزی,
1580,絞る,しぼる,"چلاندن، فشار دادن  گنجاندن",
1581,考える,かんがえる,فکر کردن,
1582,考察する,こうさつ,در نظر گرفتن,
1583,考慮,こうりょ,در نظر گرفته شود,
1584,肯定,こうてい,مثبت,
1585,航空,こうくう,هوایی (پرواز),
1586,航空便,こうくうびん,پست هوایی,
1587,荒い,あらい,"خشن ، زمخت",harsh/rough
1588,荒らす。,あらす,خرابکاری کردن,
1589,荒れる,あれる,"نامناسب (دریا ، هوا)",
1590,荒天,こうてん,هوای بد,
1591,行,ぎょう,ردیف,
1592,行う,おこなう,انجام دادن,
1593,行く,いく,رفتن,go
1594,行為,こうい,اقدامات,conduct
1595,行為を,こういを,عمل کنید,
1596,行為者。,こういしゃ。,انجام دهنده.,
1597,行事,ぎょうじ,رویداد,
1598,行団,ぎょうだん,گروه,
1599,行動,こうどう,"عمل ، اقدام",
1600,行動する,こうどう,عمل . اقدام ,
1601,行列,ぎょうれつ,ماتریس,
1602,講義,こうぎ,سخنرانی,
1603,購入,こうにゅう,خرید,
1604,購入費,こうにゅうひ,هزینه خرید,
1605,鉱物,こうぶつ,معدنی,mineral
1606,降ろす,おろす,خالی کردن بار,
1607,香港,ほんこん,هنگ کنگ,
1608,高い順,たかいじゅん,روی بالایی,
1609,高くつく,たかくつく,گران تمام شدن,
1610,高級車,こうきゅうしゃ,ماشین لوکس,
1611,高校生,こうこうせい,دبیرستان ارشد,
1612,高収入,こうしゅうにゅう,درآمد بالا,
1613,高速,こうそく,پرسرعت,high-speed
1614,高速試作,こうそくしさく,نمونه سازی سریع,repaid prototyping
1615,高速転送,こうそくてんそう,انتقال با سرعت بالا,
1616,高田校舎,たかだこうしゃ,ساختمان مدرسه تاکادا,
1617,高等学校,こうとうがっこう,دبیرستان,
1618,高得点,こうとくてん,نمره بالا,
1619,高熱,こうねつ,تب شدید,
1620,高齢化,こうれいか,سالخورده,to gray age
1621,高齢者,こうれいしゃ,افراد مسن,senior citizen
1622,号令,ごれい,فرمان,command
1623,合コンな,ごうこん,قرار گروهی,
1624,合意,ごうい,توافق,
1625,合格,ごうかく,پاس شدن,
1626,合格通知,ごうかくつうち,اطلاعیه موفقیت,
1627,合間,あいま,در حین,in between
1628,合計,ごうけい,مجموعاً,
1629,合否,ごうひ,قبولی یا مردودی,pass or fail
1630,合否結果,ごうひけっか,نتیجه قبولی شکست,
1631,合否通知,ごうひつうち,اعلان موفقیت یا شکست,
1632,克服する,こくふく,غلبه بر چیزی,
1633,刻む,きざむ,"خرد کردن ، حک کردن",to chap/ to engrave
1634,国家,こっか,کشور,
1635,国家試験受験料,"こっかしけん
じゅけんりょう",شهریه آزمون سراسری,
1636,国家試験対策費,"こっかしけん
たいさくひ",هزینه آمادگی آزمون سراسری,
1637,国家資格取得,"こっかしかく
しゅとく",کسب صلاحیت ملی,
1638,国会議事堂,こっかいぎじどう,مجلس نمایندگان,
1639,国際,こくさい,بین المللی,
1640,国際業務,こくさいぎょうむ,امور بین الملل,
1641,国籍,こくせき,ملیت,
1642,国籍番号,こくせきばんご,شماره ملی,
1643,国籍番号: 1294,こくせきばんごう:1294,شماره ملیت: 1294,
1644,国民,こくみん,مردم,
1645,国名,こくめい,نام کشور,
1646,国立競技場,こくりつきょうぎじょう,ورزشگاه ملی,
1647,国立高校,こくりつこうこう,دبیرستان ملی,
1648,国立大学,こくりつだいがく,دانشگاه ملی,
1649,国連の仕事,こくれんのしごと,کار سازمان ملل,
1650,黒い,くろい,سیاه,
1651,黒いしっぽのカラス,くろいしっぽのからす,کلاغ با دم سیاه,
1652,腰,こし,کمر,waist
1653,腰の辺り,こしのあたり,دور کمر,
1654,骨,ほね,استخوان,bone
1655,骨折,こっせつ,"شکست، شکستگی",
1656,込める,こめる,ابراز کردن,
